doc,Label Q1,Label Q2,Label Q3,Label Q4,Label Q5
doc_1036,0,0,0,0,0
doc_1060,0,0,0,0,0
doc_1068,1,1,0,1,0
doc_1108,0,0,0,0,0
doc_1202,1,1,0,1,0
doc_1212,0,0,0,1,0
doc_1232,0,0,0,0,0
doc_1266,0,0,1,0,1
doc_1357,0,0,1,0,0
doc_1360,0,0,0,0,0
doc_1447,0,0,0,0,1
doc_1463,1,0,0,1,0
doc_1545,0,0,1,0,0
doc_156,0,0,0,0,0
doc_1699,0,0,0,0,0
doc_1709,0,0,0,0,0
doc_1731,1,1,0,1,0
doc_1841,1,0,0,1,0
doc_1844,1,1,0,1,0
doc_1846,0,0,0,0,1
doc_1952,0,0,0,0,0
doc_2034,0,0,0,0,0
doc_2092,0,1,0,0,1
doc_2261,1,1,0,1,0
doc_2300,1,0,1,1,0
doc_2369,1,0,1,0,0
doc_2396,1,0,0,0,0
doc_2489,0,0,0,0,0
doc_2523,1,0,0,0,0
doc_2509,0,0,1,0,1
