DocID,Tweet,Query_ID,Label Q1,Label Q2,Label Q3,Label Q4,Label Q5
doc_1036,welpther go power good thing kindl charg booktwitt blackrom blackgirlsreadtoo blackfemaleauthor kindleunlimit bookreview bookworm hurricaneian coastalsc poweroutag,1,0,0,0,0,0
doc_1060,watch potusaddress feder respons hurricaneian live ian,1,0,0,0,0,0
doc_1068,feel want give back commun motiv la volunt toni sapien deliv red cross mission toni one hundr red cross volunt head florida safe travel toni hurricaneian,1,0,0,0,0,0
doc_1108,vdem vsppio fellow virginiansit never late prepar amp rememberturn around drownvirginia dept emerg mgmt vdemnhcatlanticfemaredcrossvadothurricaneian hurricanequest ianhttpstco4geollzm8j,1,0,0,0,0,0
doc_1202,thank everyon across nation state want help peopl devast hurricaneian make sure scam floridastrong,1,0,0,0,0,0
doc_1212,good cool chill last night power went florida spacecoast natur provid air condit never could slept spent night firelight power came back afternoon hurricaneian,1,0,0,0,0,0
doc_1232,hurricaneian stop u take trip bountifulread full articl ticket,1,0,0,0,0,0
doc_1266,swash overflow yard water rise rapidli myrtl beach south carolina 130 pm hurricaneian ian,1,0,0,0,0,0
doc_1357,latest ian suppli chain impact freightwav team report market expertshurricaneian supplychainhttpstcohb3kgnxh0q,1,0,0,0,0,0
doc_1360,member make updat club schedul today amp weekend pleas see member email member homepag detail thought amp prayer w impact devast event experiencesawgrass pontevedrabeach hurricaneian,1,0,0,0,0,0
doc_1447,fema n carolinianspleas prepar sever weather w heavi rain flood tornado amp power outagesrememb turn around drownn carolina ncpublicsafetynhcatlanticfemaredcross hurricaneian hurricanequest ianhttpstcotp51la3ar3,1,0,0,0,0,0
doc_1463,mrddmia thebabylonbe anthonysabatini break congress vote provid 12000000000 thousand peopl florida life destroy hurricaneian wait sorrythey sent distant foreign nation ukrain,1,0,0,0,0,0
doc_1545,area electr compani share plan action deal aftermath hurricaneian,1,0,0,0,0,0
doc_156,umbrella consent hurricaneian way continu collaps differ side,1,0,0,0,0,0
doc_1699,samhsagov distresslin inform hurrican distress risk factor warn sign plu resourc cope alway talkwithu 18009855990 ian hurricaneian,1,0,0,0,0,0
doc_1709,latest hurricaneian show storm still maintain hurrican strength max sustain wind 85 mph 60 mile charleston sc expect maintain strength make landfal later today weaken land move nnw,1,0,0,0,0,0
doc_1731,overwatch foundat ow4char deploy hurricaneian relief team deliv suppli floridahttpstcom1jxte1tgmflapol,1,0,0,0,0,0
doc_1841,thank state send help even hear thank youfloridastrong ian hurricaneian,1,0,0,0,0,0
doc_1844,governor gavin newsom deploy emerg personnel florida aid respons hurrican ian say california stand peopl florida ian hurricaneian,1,0,0,0,0,0
doc_1846,tornado watch issu part northcarolina southcarolina virginia 10 pm edttornadowatch tornado weather usa hurrican hurricaneian wx,1,0,0,0,0,0
doc_1952,one good thing come hurricaneian hope good tombradi giselebundchen,1,0,0,0,0,0
doc_2034,one posit hurricaneian cooler temp today weather perfect run runchat,1,0,0,0,0,0
doc_2092,import updateacentriacar send relief effort neighbor southeast effort support team member client resid area acentriacar weareherefory hurricaneian,1,0,0,0,0,0
doc_2261,govrondesanti said thousand florida resid need help rebuild hurricaneian urg could contribut florida disast fund,1,0,0,0,0,0
doc_2300,aerial photograph fortmyersbeach area hurricaneian florida usa,1,0,0,0,0,0
doc_2369,hurricaneian number florida lot damag loss life 20 unconfirm death,1,0,0,0,0,0
doc_2396,hey know sign newslett work first issu right breakdown amp analyz hurricaneian click subscrib link twitter profilew love hear topic interest,1,0,0,0,0,0
doc_2489,watch respons continu updat come hurricaneian plu insight recap announc mwc22 vteam forwardtogeth,1,0,0,0,0,0
doc_2523,would like express sympathi economi suffer much pain amp miseri due recent extrem weather cost live amp energi crisesi hope economi suffer cold hunger homelessnesslik real peopl arehurricaneian ian climateemerg,1,0,0,0,0,0
doc_2569,hurricaneian disrupt busi usual u week pleas know still youhttpstcobvphnopqx6,1,0,0,0,0,0
doc_2768,hurricaneian possibl magnetospher deterior preced anoth pole revers cours affect weather see blue areasourc european space agenc 2020,1,0,0,0,0,0
doc_279,205pm updat hurrican ian make landfal near georgetown sc 85mph wind min pressur 977mb hurricaneian scwx georgetownsc goes16,1,0,0,0,0,0
doc_2807,pray floridian hurricaneian prayingforflorida pray,1,0,0,0,0,0
doc_286,come hurrican start letter chao hurricaneian,1,0,0,0,0,0
doc_2922,skin problem acn kiwi leg bubbl as like mine check as babecom khanyi glow dm book number 0799426180skincar hurricaneian southafrica ponniyinselvan covidisnotov,1,0,0,0,0,0
doc_3043,2013 rondesanti unambigu feder bailout ny region hurrican sandi irrespons boondoggl symbol put credit card mental come washington opposehurricaneian opportunismhttpstcoz510deamta,1,0,0,0,0,0
doc_3068,well check hurricaneian venicefl damag,1,0,0,0,0,0
doc_3090,left small rivian car batteri right larger tesla car batteri one want rivian tesla tesla rivian hurricaneian elonmusk,1,0,0,0,0,0
doc_318,wallstreetsilv fortmyersbeachflorida hurricaneian,1,0,0,0,0,0
doc_3214,tripleh wwemandyros wwe redcross mani other lost apart hurrican ok mani other thank support victim hurricaneian,1,0,0,0,0,0
doc_3244,hurrican ian leav mani area state devast without necessari resourcesw provid 247 gener fuel onsit fuel dedic fuel truck agenciescal 12812057577 schedul deliveryhurricaneian florida ga fuel,1,0,0,0,0,0
doc_3309,may cool first weatherman went wind report weather event dumb footag secur cam fanci weather screen drone amp camera secur outsid nobodi need hurricaneian,1,0,0,0,0,0
doc_3348,look way help impact hurricaneian hope partnership need item support kissimme resid impact flood detail collect item today may announc futur date,1,0,0,0,0,0
doc_3368,andygold24 hash hurricaneian,1,0,0,0,0,0
doc_3421,hurricaneian anyon know mucki duck captiva surviv,1,0,0,0,0,0
doc_3492,thought prayer go famili florida effect hurrican ian minu citadel site miamihurricaneianfortmyershurricanecitadelhumanitydevastationfloridastormfloridahurrican,1,0,0,0,0,0
doc_3584,take villag proud fox famili step help seriou need right join u support redcross relief effort help peopl affect hurricaneian,1,0,0,0,0,0
doc_3585,american proud want get shit done unlik congress singl digit approv rate ian hurricaneian hurricaneian,1,0,0,0,0,0
doc_3633,hatch batten stay safe amp dri hurricaneian,1,0,0,0,0,0
doc_3672,commun coastal florida survey damag wrought hurricaneian made landfal state southwest wednesday septemb 28 head eastcredit joel albair via story,1,0,0,0,0,0
doc_3674,librari museum archiv storm damag amp needh elp contact lyrasi preserv 6144391796 provid advic salvag collect amp connect resourc 247 free servic fiona hurrican hurricaneian,1,0,0,0,0,0
doc_3787,charl student sevenoaksscmm inspir hurricaneian learn scienc behind tropic storm system thank inspir u curiou pick book find answer charl d5reads365 ourd5stori,1,0,0,0,0,0
doc_3862,zackgreenwx brepwbz katemerril liamwbz levanreid mattwbz wbz dunkindonut want bring myrtlebeach impend hurricaneian,1,0,0,0,0,0
doc_389,head sunday monday machin guy go tri help custom anyon ft myer napl area anyon someon need check item may need take even peopl need help dm hurricaneian,1,0,0,0,0,0
doc_3967,look assist due damag caus hurricaneian ac unit car garag fall ceil cover home insur polici ask help rais 1700 get repair donat jonesonlin thank,1,0,0,0,0,0
doc_646,peak tide bad downtown charleston noon wentworth gadsden got lot deeper 201518 storm chswx hurricaneian,1,0,0,0,0,0
doc_740,go clean hurricaneian,1,0,0,0,0,0
doc_747,pult hi hurricaneian surrvivor could use help ga money 5 month old babi three teen run water power gener go lot ga anyth help thank donnataylorclarkson,1,0,0,0,0,0
doc_822,valuabl info hurricaneian fl homeown insurancehttpstcoc9umx3pen9,1,0,0,0,0,0
doc_957,ian hurricaneian sc nc va tornadowatch southcarolina northcarolina virginiafrom accuweath channel,1,0,0,0,0,0
